,Liberty University,20,13,5,1,1,28,94,50,44,21,4,12,193
,High Point University,20,9,10,0,1,19,67,101,-34,13,3,17,238
,Christopher Newport University,11,8,3,0,0,16,67,29,38,8,1,7,203
,Coastal Carolina University,9,5,3,0,1,11,55,37,18,10,3,7,104
,East Carolina University,6,5,1,0,0,10,40,14,26,7,1,5,90
,Old Dominion University,14,5,9,0,0,10,71,78,-7,8,5,7,201
,Appalachian State,7,4,3,0,0,8,28,16,12,4,2,4,103
,University of North Carolina - Charlotte,22,3,18,1,0,7,46,134,-88,2,1,6,47
,The Citadel,5,3,2,0,0,6,15,14,1,5,1,1,83
,College of Charleston,9,2,5,0,2,6,29,37,-8,9,0,10,141
,American University,4,2,2,0,0,4,13,16,-3,1,1,2,32
,College of William & Mary,3,1,2,0,0,2,7,17,-10,1,0,3,36
,United States Naval Academy,7,0,7,0,0,0,14,39,-25,3,2,10,78
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Montgomery College,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,University of Georgia,25,20,4,1,0,41,144,53,91,34,6,12,437
,Florida Atlantic University,23,19,3,1,0,39,175,79,96,40,12,18,354
,University of South Carolina,26,18,6,1,1,38,143,73,70,26,10,21,394
,Georgia Tech,26,18,8,0,0,36,136,76,60,26,9,20,287
,Middle Tennessee State University,19,11,6,0,2,24,83,81,2,11,4,20,281
,University of Alabama,16,11,5,0,0,22,92,52,40,13,3,14,226
,University of Mississippi,17,10,6,1,0,21,86,49,37,17,4,11,190
,Clemson University,17,9,5,0,3,21,93,69,24,21,6,17,258
,Auburn University,16,8,6,1,1,18,78,53,25,14,6,13,198
,University of Tennessee,19,6,11,1,1,14,62,101,-39,23,6,27,244
,University of Florida,13,4,8,1,0,9,47,62,-15,14,4,11,211
,Lynn University,14,4,10,0,0,8,49,110,-61,11,2,26,192
,Kennesaw State University,20,3,16,0,1,7,63,150,-87,12,7,50,338
,University of Florida (D3),7,3,4,0,0,6,32,46,-14,10,1,3,71
,Florida State University,19,1,15,2,1,5,53,166,-113,20,4,31,301
,Vanderbilt University,11,2,9,0,0,4,39,74,-35,10,1,12,108
,University of Alabama - Huntsville,14,0,14,0,0,0,35,157,-122,6,1,17,165
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Penn State University - Harrisburg,25,13,6,3,3,32,146,104,42,28,7,11,244
,University of Delaware,19,15,3,0,1,31,123,53,70,32,8,12,311
,Alvernia University,17,13,2,1,1,28,150,70,80,30,12,19,260
,Widener University,14,11,1,2,0,24,94,30,64,17,6,2,298
,Kutztown University D2,15,11,3,1,0,23,86,44,42,14,4,10,129
,York College of Pennsylvania,10,7,3,0,0,14,62,36,26,11,3,9,121
,Catholic University,12,6,6,0,0,12,63,65,-2,11,4,16,136
,Salisbury University,10,4,6,0,0,8,35,74,-39,5,1,14,166
,Bucknell University,3,3,0,0,0,6,17,6,11,3,1,1,53
,Gettysburg College,5,3,2,0,0,6,39,41,-2,10,2,6,40
,Susquehanna University,7,3,4,0,0,6,44,47,-3,8,0,7,74
,Neumann University,10,3,7,0,0,6,38,53,-15,8,3,14,204
,Kutztown University D3,12,3,9,0,0,6,51,75,-24,7,1,17,178
,Millersville University,13,3,10,0,0,6,40,83,-43,8,1,17,147
,University of Maryland Baltimore County,12,2,9,0,1,5,55,107,-52,8,3,19,182
,John Hopkins University,5,1,4,0,0,2,24,43,-19,4,2,6,65
,Franklin & Marshall College,6,1,5,0,0,2,28,55,-27,4,1,7,73
,Bloomsburg University,9,1,8,0,0,2,20,61,-41,3,1,17,158
,Lafayette College,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rutgers University - Camden,0,0,0,0,0,0,0,0,0,0,0,0,0
,Salisbury University - II,0,0,0,0,0,0,0,0,0,0,0,0,0
,St. Vincent's College,1,0,1,0,0,0,3,5,-2,1,0,1,8
,LaSalle University,5,0,5,0,0,0,11,79,-68,2,0,3,15
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Farmingdale State College - D2,23,18,3,0,2,38,145,46,99,32,9,14,326
,Quinnipiac University,21,16,4,0,1,33,125,59,66,22,10,10,290
,Fairfield University,22,14,6,0,2,30,131,59,72,13,10,11,275
,Ramapo College,16,13,1,1,1,28,110,31,79,17,11,8,198
,Hofstra University,20,9,10,1,0,19,84,98,-14,17,11,16,234
,Fordham University,19,6,11,1,1,14,81,87,-6,20,4,12,284
,Southern Connecticut State University,15,2,13,0,0,4,33,111,-78,2,3,35,279
,Stony Brook University,14,0,14,0,0,0,16,171,-155,3,0,15,66
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Mass Maritime Academy,19,10,7,1,1,22,68,69,-1,6,5,17,242
,Babson College,11,10,0,0,1,21,62,21,41,9,6,5,149
,Farmingdale State College - D3,14,7,4,0,3,17,57,59,-2,13,4,9,206
,Anna Maria College,10,8,2,0,0,16,65,23,42,8,3,4,153
,University of New Hampshire - D3,13,4,9,0,0,8,39,63,-24,6,1,4,117
,Nichols College,7,1,5,0,1,3,27,55,-28,1,2,5,45
,New England College,1,1,0,0,0,2,3,3,0,1,0,0,6
,Quincy College,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rhode Island College,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sacred Heart University,4,0,4,0,0,0,9,36,-27,1,0,1,18
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,UNC-Wilmington ACHA D2,6,5,1,0,0,10,29,16,13,1,0,0,46
,Wake Forest University ACHA D2,3,3,0,0,0,6,18,8,10,0,0,0,0
,Columbia University - MCHC,3,2,1,0,0,4,25,21,4,3,1,7,71
,Rowan University,2,1,0,1,0,3,7,6,1,3,0,0,30
,Elon University ACHA D2,3,1,1,1,0,3,8,7,1,0,0,2,14
,Georgetown University ACHA D2,1,1,0,0,0,2,6,0,6,0,0,0,0
,University at Delaware - D2,1,1,0,0,0,2,5,0,5,1,0,0,4
,University of Maine,1,1,0,0,0,2,4,1,3,1,0,1,13
,Virginia Tech University,1,1,0,0,0,2,6,3,3,2,0,1,11
,SUNY Maritime - MCHC,1,1,0,0,0,2,5,3,2,2,0,0,27
,Sacred Heart University - MCHC,1,1,0,0,0,2,4,3,1,2,0,0,8
,George Washington University,1,1,0,0,0,2,4,3,1,0,0,0,0
,Southern New Hampshire University,1,1,0,0,0,2,5,4,1,0,0,1,8
,Bentley University,3,1,2,0,0,2,9,9,0,0,1,1,50
,St. Thomas Aquinas College,2,1,1,0,0,2,9,9,0,2,0,2,22
,Suffolk Community College - MCHC,2,1,1,0,0,2,11,12,-1,2,1,2,18
,Western Connecticut State University - MCHC,2,1,1,0,0,2,5,6,-1,0,1,3,29
,University of Maryland (D3),4,1,3,0,0,2,15,31,-16,1,1,3,33
,Stevens Institute of Technology - MCHC,2,0,1,0,1,1,6,8,-2,1,2,1,26
,Duke University ACHA D2,2,0,1,0,1,1,6,9,-3,0,0,0,0
,Brown University,3,0,2,0,1,1,5,24,-19,2,0,2,24
,Dennison University,0,0,0,0,0,0,0,0,0,0,0,0,0
,East Texas Baptist University ACHA D2,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lewis University ACHA D2,0,0,0,0,0,0,0,0,0,0,0,0,0
,Stevenson University,0,0,0,0,0,0,0,0,0,0,0,0,0
,Stevenson University,0,0,0,0,0,0,0,0,0,0,0,0,0
,St. Joseph's University,0,0,0,0,0,0,0,0,0,0,0,0,0
,University of Alabama - ACHA D1,0,0,0,0,0,0,0,0,0,0,0,0,0
,University of Alabama - D1,0,0,0,0,0,0,0,0,0,0,0,0,0
,University of Kentucky ACHA D2,0,0,0,0,0,0,0,0,0,0,0,0,0
,University of Kentucky - D2,0,0,0,0,0,0,0,0,0,0,0,0,0
,University of North Carolina - Chapel Hill,0,0,0,0,0,0,0,0,0,0,0,0,0
,Virginia Tech,0,0,0,0,0,0,0,0,0,0,0,0,0
,West Chester University ACHA D2,1,0,1,0,0,0,6,7,-1,2,0,0,12
,Millersville ACHA D2,1,0,1,0,0,0,3,4,-1,1,0,2,14
,Kings Point Merchant Marine Academy - MCHC,1,0,1,0,0,0,3,4,-1,0,0,2,6
,Canisius College (ACHA D1),1,0,1,0,0,0,5,7,-2,1,1,4,16
,Seton Hall University,1,0,1,0,0,0,5,8,-3,1,0,1,6
,West Virginia MD3,1,0,1,0,0,0,0,4,-4,0,0,1,6
,California University of Pennsylvania,2,0,2,0,0,0,7,12,-5,1,0,6,50
,St. Joseph's of Maine,3,0,3,0,0,0,6,15,-9,1,0,3,59
,University of Mary Washington,2,0,2,0,0,0,1,39,-38,0,0,0,2
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,University of Tampa,27,25,1,1,0,51,182,60,122,26,10,12,337
,University of Tampa - FCHC,23,22,0,0,1,45,213,39,174,39,10,11,344
,Embry-Riddle University,28,16,10,1,1,34,132,92,40,38,5,23,461
,University of South Florida,27,14,11,1,1,30,109,108,1,38,3,24,348
,Florida Southern College - FCHC,19,11,7,0,1,23,113,94,19,15,11,15,282
,University of Central Florida,29,9,16,1,3,22,105,116,-11,31,7,28,353
,Embry-Riddle University - FCHC,19,8,10,0,1,17,81,115,-34,23,5,41,402
,University of Miami,21,5,15,1,0,11,94,129,-35,17,9,30,274
,Florida Institute of Technology - FCHC,20,4,15,0,1,9,82,151,-69,23,5,25,274
,University of South Florida - FCHC,9,0,9,0,0,0,12,97,-85,4,0,20,108
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Niagara University,22,16,5,0,1,33,117,71,46,37,2,26,321
,University of Binghamton,16,14,1,0,1,29,135,47,88,21,13,11,171
,Buffalo State College,17,14,2,0,1,29,99,62,37,25,7,18,280
,St Bonaventure University,16,14,2,0,0,28,104,41,63,25,3,8,194
,St John Fisher College,19,13,5,1,0,27,142,71,71,21,10,8,225
,Erie Community College,20,11,8,0,1,23,101,97,4,18,11,24,299
,Niagara County Community College,12,10,1,0,1,21,86,41,45,13,7,9,170
,University at Buffalo,23,9,12,0,2,20,82,117,-35,20,4,25,248
,LeMoyne College,16,8,7,0,1,17,81,97,-16,17,2,19,171
,SUNY Cortland,14,7,5,0,2,16,66,66,0,16,8,13,190
,SUNY Brockport,13,6,6,0,1,13,55,63,-8,9,4,17,152
,Gannon University,12,6,6,0,0,12,68,77,-9,21,4,14,228
,SUNY Geneseo,8,5,2,1,0,11,53,35,18,5,2,9,123
,University At Albany,14,4,8,1,1,10,42,73,-31,9,0,16,145
,Alfred State College,12,4,7,0,1,9,57,55,2,12,6,14,187
,Cornell University,11,4,7,0,0,8,37,61,-24,10,2,8,130
,Canisius College,13,3,8,0,2,8,42,88,-46,8,2,15,116
,Mercyhurst University,12,3,8,0,1,7,34,71,-37,9,2,19,223
,Colgate University,4,2,1,0,1,5,27,24,3,4,0,1,40
,Hamilton College,5,2,2,1,0,5,24,27,-3,3,1,3,25
,SUNY Fredonia,11,2,8,0,1,5,46,50,-4,11,2,9,146
,Union College,11,2,8,1,0,5,38,55,-17,1,1,8,70
,Medaille College,9,2,7,0,0,4,27,78,-51,5,1,14,116
,Penn St. Behrend,15,2,13,0,0,4,51,131,-80,14,8,28,244
,University of Pittsburgh at Bradford,3,1,2,0,0,2,16,16,0,4,0,2,18
,Paul Smiths College,4,0,3,0,1,1,10,27,-17,2,0,9,86
,Hobart College,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ithaca College,3,0,3,0,0,0,13,36,-23,2,0,1,12
,University of Rochester,5,0,5,0,0,0,15,45,-30,8,2,6,48
